Model,HR@5,NDCG@5,MRR@5,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,Coverage,Novelty,Gini,Train_Time_s
Popularity,0.17649689218798909,0.11362970463075521,0.09317548331321081,0.28864642489826947,0.14969736921737617,0.10794401395729482,0.4309797433260296,0.18558550879544197,0.11774323397405857,0.3193124535162383,12.293986843312373,0.37054374859797345,0.0
ItemKNN,0.4232437508384385,0.2877274774377923,0.24324628478588145,0.5537718552966955,0.33022030362610016,0.26094526886459996,0.7171220319277378,0.3713097903596594,0.2720932254054105,1.0,13.779852053113848,0.2533633160890474,0.0
BPR-MF,0.31565532352546616,0.21817802644993764,0.18617359030541517,0.43630103295622236,0.2572144413057686,0.20229533405873787,0.5683047891606672,0.29046518293384366,0.21135561701864863,0.9570283447648955,13.37288658600704,0.46789509234408033,78.2
NeuMF,0.2699101193936413,0.1930392488353871,0.1677324151500246,0.3683763359119975,0.22480022211084252,0.18079434638706648,0.493314850422573,0.2562689139012131,0.18936924858910414,0.9977687794397158,13.530614941699614,0.36545782480409983,104.2
LightGCN,0.3083217815141081,0.20872246568634734,0.1760966775477351,0.43084559316728527,0.2484186678985327,0.19252410976464102,0.5619102982605196,0.2814478428344594,0.20153293040631373,0.8626559788447236,13.17503906753546,0.5572068948289701,631.2
Multi-VAE,0.32902562268032015,0.24058137732577686,0.21142288601708178,0.4353172651254304,0.2748102443253883,0.2254643263497174,0.5620444484192639,0.30679741256175247,0.23421517404701772,0.99479381869267,13.433261614465474,0.3885222648662605,142.9
SASRec,0.0992264007512409,0.06172998212461171,0.049506625527284645,0.17757009345794392,0.08679487419680419,0.05969277484279943,0.3063989625721057,0.11910643631226574,0.06842652975384589,0.5468969506652342,13.747000445468645,0.5639996102929106,271.4
Ensemble,0.37173008988060635,0.2719158530781735,0.23900937560553892,0.4794079506327416,0.30668544125547026,0.25332903555972913,0.6014845950901042,0.3374012734663459,0.2616820013132635,0.9949590942897282,13.297616020616562,0.4799140425058417,0.0
